external_ref,oem,model,chemistry,rated_capacity_kwh,nominal_voltage,manufacture_date,source_city,source_state,lat,lng,cycle_count,capacity_now_kwh,avg_temp_c,max_temp_c,thermal_stress_hours,internal_resistance_mohm,ir_growth_pct,coulombic_efficiency,fade_rate,fade_acceleration,cv_phase_fraction,voltage_slope,voltage_variance,discharge_efficiency
BAT-0218,Fleet Operator C (2W),VoltPack-3100,NMC,3.1,48.0,2022-08-06,Jaipur,Rajasthan,26.99,75.8581,940,2.71,32.7,40.5,27.7,34.6,25.5,0.9955,1.402,0.033,0.177,0.118,0.0263,0.9689
BAT-0219,Fleet Operator A (2W),VoltPack-3600,LFP,3.6,52.0,2021-02-22,Kochi,Kerala,9.8851,76.2522,1321,2.82,32.9,41.4,45.5,16.6,31.3,0.9926,1.956,0.002,0.245,0.163,0.0455,0.9496
BAT-0220,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,48.0,2021-11-16,Pune,Maharashtra,18.3941,73.948,1477,3.22,31.6,41.2,32.4,42.3,14.4,0.992,1.483,0.037,0.258,0.172,0.0705,0.9459
BAT-0221,Fleet Operator B (2W),VoltPack-3200,LCO,3.2,52.0,2024-11-24,Bengaluru,Karnataka,12.914,77.5829,221,3.04,28.9,38.0,10.5,21.0,9.3,0.998,2.166,0.006,0.12,0.08,0.0042,0.9849
BAT-0222,Fleet Operator C (2W),VoltPack-4300,NMC,4.3,60.0,2022-03-22,Jaipur,Rajasthan,27.0579,75.8557,742,2.89,37.2,54.0,87.2,44.1,33.6,0.989,5.256,0.016,0.329,0.219,0.129,0.9259
BAT-0223,Fleet Operator B (2W),VoltPack-3100,NMC,3.1,60.0,2023-07-18,Pune,Maharashtra,18.4036,73.8442,924,2.62,29.4,38.7,16.6,44.4,27.8,0.9946,1.718,0.003,0.198,0.132,0.0436,0.9628
BAT-0224,Fleet Operator C (2W),VoltPack-3900,NMC,3.9,60.0,2021-04-09,Mumbai,Maharashtra,19.0291,72.9302,449,3.22,33.1,48.8,20.6,40.7,18.2,0.9939,3.709,0.042,0.214,0.143,0.0256,0.9584
BAT-0225,Fleet Operator B (2W),VoltPack-3600,LFP,3.6,48.0,2022-01-03,Pune,Maharashtra,18.5991,73.8886,1388,2.24,37.2,50.8,50.1,40.2,47.9,0.9873,2.315,0.045,0.366,0.244,0.1373,0.9154
BAT-0226,Fleet Operator C (3W),VoltPack-7700,NMC,7.7,48.0,2024-06-04,New Delhi,Delhi,28.6264,77.0897,1850,5.11,32.6,41.1,59.5,43.1,40.2,0.9887,1.702,0.088,0.335,0.223,0.1177,0.924
BAT-0227,Fleet Operator A (4W),VoltPack-26100,NMC,26.1,96.0,2022-04-13,Bengaluru,Karnataka,12.8857,77.6805,881,18.87,33.8,43.7,59.0,42.0,14.4,0.9906,3.323,0.042,0.29,0.194,0.087,0.9368
BAT-0228,Fleet Operator A (2W),VoltPack-3400,NMC,3.4,60.0,2024-09-17,Ahmedabad,Gujarat,22.9727,72.5797,1344,2.19,35.6,46.3,33.5,31.5,41.9,0.988,2.999,0.011,0.35,0.233,0.0528,0.9198
BAT-0229,Fleet Operator C (2W),VoltPack-3300,LFP,3.3,52.0,2021-03-09,Bengaluru,Karnataka,12.9189,77.5113,462,3.08,26.6,37.3,9.5,25.9,10.9,0.9975,1.577,0.008,0.132,0.088,0.0097,0.9817
BAT-0230,Fleet Operator A (2W),VoltPack-4400,LFP,4.4,52.0,2021-12-18,Pune,Maharashtra,18.6365,74.0055,1572,3.4,39.0,61.3,107.7,24.5,25.9,0.9922,1.647,0.076,0.253,0.169,0.0595,0.9472
BAT-0231,Fleet Operator B (2W),VoltPack-4400,NMC,4.4,48.0,2022-07-11,Lucknow,Uttar Pradesh,26.9917,81.0047,1517,3.49,35.5,41.9,47.6,30.7,27.3,0.9929,1.485,0.108,0.237,0.158,0.0394,0.9518
BAT-0232,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,52.0,2021-10-06,Pune,Maharashtra,18.6558,73.8484,1087,2.84,36.5,43.8,73.5,31.1,32.0,0.9891,2.437,0.091,0.326,0.217,0.0745,0.9267
BAT-0233,Fleet Operator A (2W),VoltPack-3400,NMC,3.4,48.0,2022-11-10,New Delhi,Delhi,28.6849,77.3139,301,3.2,30.0,41.9,5.6,34.4,15.3,0.9977,1.979,0.024,0.127,0.085,0.0074,0.983
BAT-0234,Fleet Operator B (2W),VoltPack-3500,NMC,3.5,52.0,2023-04-01,Ahmedabad,Gujarat,23.0816,72.6022,805,3.12,30.8,44.0,19.9,26.1,12.3,0.9961,1.08,0.028,0.163,0.109,0.0257,0.9727
BAT-0235,Fleet Operator B (2W),VoltPack-3900,NMC,3.9,60.0,2023-10-03,Hyderabad,Telangana,17.2416,78.576,1359,2.81,37.2,59.3,102.7,34.2,38.9,0.9905,2.45,0.044,0.293,0.195,0.0567,0.936
BAT-0236,Fleet Operator C (3W),VoltPack-6700,LFP,6.7,48.0,2022-03-20,Ahmedabad,Gujarat,23.0806,72.5872,1362,5.32,33.2,44.9,14.5,40.4,23.6,0.9929,1.444,0.016,0.238,0.158,0.0387,0.9517
BAT-0237,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,60.0,2022-11-01,Pune,Maharashtra,18.6602,73.9983,601,3.47,33.9,45.3,10.8,24.2,20.5,0.994,2.604,0.005,0.213,0.142,0.0338,0.9587
BAT-0238,Fleet Operator B (2W),VoltPack-3100,LCO,3.1,60.0,2021-11-09,Jaipur,Rajasthan,27.0398,75.8561,1733,2.03,36.9,51.9,87.5,27.4,55.1,0.9885,2.219,0.036,0.34,0.227,0.1325,0.9226
BAT-0239,Fleet Operator A (2W),VoltPack-3400,NMC,3.4,60.0,2022-07-13,Nagpur,Maharashtra,21.2557,79.0452,585,2.99,30.4,46.0,9.6,38.9,29.5,0.9957,1.763,0.038,0.172,0.115,0.0167,0.9702
BAT-0240,Fleet Operator A (2W),VoltPack-3600,LCO,3.6,52.0,2024-03-14,Kochi,Kerala,9.9162,76.2685,694,2.19,30.5,42.5,48.6,26.2,47.1,0.9869,6.485,0.009,0.375,0.25,0.0716,0.9126
BAT-0241,Fleet Operator B (3W),VoltPack-5300,NMC,5.3,60.0,2022-05-04,Pune,Maharashtra,18.4373,73.8191,1715,3.32,32.1,53.5,77.3,28.0,73.6,0.9875,2.178,0.001,0.363,0.242,0.1052,0.9163
BAT-0242,Fleet Operator A (2W),VoltPack-3800,NMC,3.8,60.0,2024-12-28,Mumbai,Maharashtra,19.1357,72.9227,1881,2.36,33.7,51.7,37.5,15.3,11.9,0.9873,2.257,0.011,0.367,0.245,0.0914,0.9151
BAT-0243,Fleet Operator B (3W),VoltPack-7300,LFP,7.3,60.0,2022-11-25,Lucknow,Uttar Pradesh,26.9409,80.9918,485,5.64,34.2,45.7,40.5,29.4,46.8,0.9922,4.841,0.111,0.253,0.169,0.0511,0.9472
BAT-0244,Fleet Operator B (2W),VoltPack-4200,NMC,4.2,60.0,2023-04-05,Bengaluru,Karnataka,12.9087,77.4813,1514,3.29,35.6,52.9,23.3,15.7,40.6,0.9926,1.285,0.042,0.246,0.164,0.0435,0.9494
BAT-0245,Fleet Operator C (2W),VoltPack-3700,NMC,3.7,48.0,2021-12-10,Bengaluru,Karnataka,13.1095,77.5176,1757,2.33,37.1,47.8,66.9,44.9,34.2,0.9876,2.17,0.028,0.361,0.241,0.0665,0.9168
BAT-0246,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,48.0,2024-05-01,Pune,Maharashtra,18.5674,73.8164,1236,2.54,31.4,44.5,56.2,34.5,27.2,0.9895,2.927,0.01,0.317,0.211,0.0703,0.9293
BAT-0247,Fleet Operator A (2W),VoltPack-3200,LFP,3.2,52.0,2023-04-20,Chennai,Tamil Nadu,12.9518,80.3003,1387,2.49,32.4,41.7,48.8,14.7,31.1,0.9924,1.805,0.034,0.248,0.165,0.0713,0.9487
BAT-0248,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,60.0,2024-04-17,Hyderabad,Telangana,17.4634,78.3863,930,2.9,33.6,46.6,30.9,33.1,34.3,0.9926,2.61,0.01,0.244,0.163,0.04,0.9499
BAT-0249,Fleet Operator B (2W),VoltPack-4300,NMC,4.3,48.0,2024-10-20,Kochi,Kerala,10.014,76.3162,581,3.14,33.3,48.4,10.0,18.3,43.4,0.9909,5.362,0.084,0.284,0.189,0.0647,0.9385
BAT-0250,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,52.0,2024-12-07,Nagpur,Maharashtra,21.2195,78.9711,853,2.91,36.1,41.7,76.5,19.1,14.1,0.9896,3.752,0.03,0.313,0.209,0.0466,0.9303
BAT-0251,Fleet Operator B (3W),VoltPack-7300,LFP,7.3,60.0,2023-01-26,Chennai,Tamil Nadu,13.1205,80.2362,1245,5.73,32.5,45.7,42.1,30.1,74.7,0.9926,1.828,0.003,0.244,0.162,0.0671,0.9499
BAT-0252,Fleet Operator B (2W),VoltPack-3300,LFP,3.3,48.0,2023-09-06,Jaipur,Rajasthan,27.0008,75.6725,1041,2.34,34.1,51.2,39.8,42.9,13.4,0.9902,2.943,0.079,0.3,0.2,0.0864,0.9339
BAT-0253,Fleet Operator A (2W),VoltPack-3600,LCO,3.6,60.0,2023-04-22,Bengaluru,Karnataka,13.0347,77.5547,1268,2.3,35.3,43.0,87.9,30.2,54.9,0.9878,2.614,0.039,0.354,0.236,0.1297,0.9186
BAT-0254,Fleet Operator A (2W),VoltPack-3100,LFP,3.1,48.0,2021-06-17,Jaipur,Rajasthan,26.8611,75.7014,1507,2.37,29.3,51.5,31.3,18.9,52.1,0.992,1.314,0.007,0.258,0.172,0.0856,0.9458
BAT-0255,Fleet Operator A (2W),VoltPack-3600,LCO,3.6,48.0,2022-07-25,Hyderabad,Telangana,17.2664,78.3719,730,2.84,31.6,47.4,18.2,13.5,13.0,0.9928,2.527,0.066,0.24,0.16,0.0588,0.9509
BAT-0256,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,52.0,2024-08-05,Bengaluru,Karnataka,13.0328,77.636,256,3.1,30.4,39.3,11.4,37.1,15.4,0.9977,2.201,0.018,0.128,0.085,0.007,0.9828
BAT-0257,Fleet Operator C (2W),VoltPack-3300,LFP,3.3,60.0,2023-01-08,Bengaluru,Karnataka,13.0437,77.5131,1586,1.49,33.9,48.9,95.4,29.9,51.5,0.985,3.134,0.011,0.42,0.28,0.1663,0.9
BAT-0258,Fleet Operator A (3W),VoltPack-6700,LFP,6.7,48.0,2022-04-08,Nagpur,Maharashtra,21.1581,79.0608,750,5.16,31.8,50.5,29.3,33.2,41.9,0.9922,2.679,0.035,0.255,0.17,0.0338,0.9468
BAT-0259,Fleet Operator C (2W),VoltPack-3800,LCO,3.8,52.0,2022-09-25,Chennai,Tamil Nadu,13.0921,80.1747,668,2.7,35.6,45.1,54.9,28.9,46.8,0.9902,4.088,0.032,0.299,0.199,0.0851,0.9342
BAT-0260,Fleet Operator C (2W),VoltPack-3400,NMC,3.4,48.0,2023-04-03,Bengaluru,Karnataka,13.0025,77.5403,412,2.59,29.4,43.8,39.1,41.8,32.7,0.9919,5.271,0.024,0.262,0.174,0.0569,0.9448
BAT-0261,Fleet Operator A (2W),VoltPack-3800,LCO,3.8,60.0,2024-04-21,Pune,Maharashtra,18.5857,73.8893,844,2.62,36.4,40.8,29.7,44.6,39.5,0.9895,4.081,0.035,0.316,0.211,0.0864,0.9295
BAT-0262,Fleet Operator B (3W),VoltPack-7900,LFP,7.9,48.0,2022-10-10,Ahmedabad,Gujarat,23.0803,72.7021,578,6.4,28.7,39.2,14.9,12.8,20.1,0.9935,3.178,0.01,0.225,0.15,0.0662,0.9553
BAT-0263,Fleet Operator A (3W),VoltPack-5000,NMC,5.0,60.0,2024-08-11,Bengaluru,Karnataka,12.9059,77.5576,1697,3.88,35.6,51.3,59.5,18.5,65.1,0.9923,1.252,0.014,0.251,0.167,0.0719,0.9479
BAT-0264,Fleet Operator B (3W),VoltPack-7400,NMC,7.4,60.0,2022-07-12,Mumbai,Maharashtra,19.0032,72.7379,421,6.0,31.5,43.4,22.1,40.3,28.0,0.9935,5.156,0.021,0.225,0.15,0.026,0.9554
BAT-0265,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,48.0,2022-08-08,Pune,Maharashtra,18.5625,73.907,506,2.76,29.2,42.9,47.8,12.7,34.8,0.9927,4.232,0.003,0.242,0.161,0.0571,0.9504
BAT-0266,Fleet Operator B (2W),VoltPack-3200,LFP,3.2,60.0,2023-07-12,Hyderabad,Telangana,17.4166,78.6018,604,2.08,30.2,46.3,60.0,42.8,41.6,0.9882,5.709,0.003,0.346,0.231,0.108,0.921
BAT-0267,Fleet Operator A (3W),VoltPack-6200,NMC,6.2,48.0,2022-09-17,Ahmedabad,Gujarat,22.8932,72.4853,1066,4.83,30.4,49.5,13.8,29.0,37.1,0.9925,2.238,0.075,0.248,0.165,0.0678,0.9487
BAT-0268,Fleet Operator B (3W),VoltPack-6600,NMC,6.6,60.0,2021-08-02,Bengaluru,Karnataka,13.1213,77.6513,1138,4.49,34.3,46.6,84.9,24.5,25.7,0.9892,2.601,0.039,0.322,0.215,0.051,0.9276
BAT-0269,Fleet Operator A (3W),VoltPack-7200,NMC,7.2,48.0,2022-03-03,Bengaluru,Karnataka,12.968,77.6844,880,4.54,36.8,50.0,33.8,42.8,46.1,0.9876,4.713,0.088,0.359,0.24,0.1008,0.9172
BAT-0270,Fleet Operator C (2W),VoltPack-3000,NMC,3.0,52.0,2024-06-05,Pune,Maharashtra,18.6646,73.9993,837,2.43,31.3,49.7,20.1,28.0,20.6,0.9934,2.627,0.042,0.226,0.15,0.0535,0.9551
BAT-0271,Fleet Operator B (2W),VoltPack-3700,LFP,3.7,48.0,2023-02-27,Mumbai,Maharashtra,19.2216,72.7516,1233,2.67,34.4,51.6,59.0,16.9,67.7,0.9906,2.573,0.011,0.291,0.194,0.0403,0.9366
BAT-0272,Fleet Operator A (2W),VoltPack-3600,NMC,3.6,48.0,2021-10-05,Mumbai,Maharashtra,19.0178,72.8718,1215,2.42,37.6,44.2,45.0,20.8,48.5,0.989,3.184,0.028,0.328,0.219,0.0734,0.9261
BAT-0273,Fleet Operator B (3W),VoltPack-6900,LCO,6.9,60.0,2023-03-25,Mumbai,Maharashtra,19.1186,73.0128,1119,5.23,30.5,44.7,30.5,13.6,39.2,0.9918,1.836,0.021,0.264,0.176,0.0724,0.9442
BAT-0274,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,48.0,2021-05-10,New Delhi,Delhi,28.5993,77.2651,869,2.9,30.3,43.4,17.2,43.4,36.2,0.9957,1.444,0.04,0.172,0.115,0.0241,0.9701
BAT-0275,Fleet Operator A (2W),VoltPack-3400,LFP,3.4,52.0,2021-06-18,Mumbai,Maharashtra,19.0029,72.7346,706,2.57,34.9,61.0,72.5,15.8,40.2,0.9917,3.551,0.025,0.266,0.178,0.0615,0.9435
BAT-0276,Fleet Operator A (4W),VoltPack-34100,LFP,34.1,96.0,2023-08-16,Pune,Maharashtra,18.5079,73.9043,553,25.67,34.2,40.0,19.4,33.8,35.7,0.9916,4.219,0.006,0.268,0.179,0.0846,0.9431
BAT-0277,Fleet Operator A (2W),VoltPack-3100,NMC,3.1,52.0,2023-05-18,Hyderabad,Telangana,17.4148,78.5681,711,2.33,32.7,43.5,16.4,29.7,51.9,0.9915,2.841,0.111,0.269,0.179,0.0349,0.9428
BAT-0278,Fleet Operator C (2W),VoltPack-4000,NMC,4.0,60.0,2022-06-18,Pune,Maharashtra,18.5821,73.9611,1898,2.75,36.8,53.6,66.7,42.8,36.9,0.9895,1.362,0.096,0.317,0.211,0.0691,0.9293
BAT-0279,Fleet Operator B (2W),VoltPack-3100,NMC,3.1,60.0,2024-03-06,Hyderabad,Telangana,17.4603,78.585,1514,1.72,33.1,47.5,43.7,14.1,30.1,0.9852,2.769,0.036,0.415,0.277,0.1705,0.9014
BAT-0280,Fleet Operator B (3W),VoltPack-7000,NMC,7.0,48.0,2024-11-18,Pune,Maharashtra,18.4318,73.799,849,4.28,36.5,45.4,44.8,35.5,35.9,0.987,4.753,0.026,0.374,0.249,0.0928,0.913
BAT-0281,Fleet Operator B (2W),VoltPack-3300,NMC,3.3,60.0,2021-04-20,Ahmedabad,Gujarat,23.0301,72.4985,790,2.22,33.0,40.9,31.2,21.1,23.0,0.9889,4.701,0.031,0.329,0.219,0.1167,0.9258
BAT-0282,Fleet Operator A (2W),VoltPack-3100,NMC,3.1,52.0,2022-01-02,Pune,Maharashtra,18.6525,73.8407,616,2.1,33.6,49.6,79.4,25.3,48.8,0.9891,4.993,0.031,0.325,0.216,0.061,0.927
BAT-0283,Fleet Operator B (2W),VoltPack-4300,LCO,4.3,60.0,2022-10-03,New Delhi,Delhi,28.7444,77.3326,1062,2.44,38.5,50.1,75.5,29.3,31.6,0.9856,4.278,0.036,0.406,0.271,0.106,0.9039
BAT-0284,Fleet Operator C (2W),VoltPack-3700,LFP,3.7,60.0,2021-02-16,Lucknow,Uttar Pradesh,26.8949,81.0725,452,3.35,29.1,37.0,2.5,30.1,6.1,0.9966,2.2,0.037,0.153,0.102,0.018,0.9758
BAT-0285,Fleet Operator B (2W),VoltPack-3600,NMC,3.6,60.0,2021-11-22,Kochi,Kerala,9.9781,76.4043,1843,2.29,31.0,48.1,21.9,41.1,40.8,0.9878,2.108,0.097,0.356,0.237,0.094,0.9182
BAT-0286,Fleet Operator A (2W),VoltPack-4200,LFP,4.2,52.0,2024-08-15,Hyderabad,Telangana,17.414,78.3715,1243,2.8,36.5,43.7,66.1,29.5,50.6,0.9888,2.351,0.018,0.332,0.222,0.1192,0.9249
BAT-0287,Fleet Operator B (2W),VoltPack-4300,NMC,4.3,48.0,2021-03-19,Pune,Maharashtra,18.6274,73.9693,1286,1.99,34.1,46.0,99.6,45.0,50.3,0.985,4.609,0.04,0.42,0.28,0.096,0.9
BAT-0288,Fleet Operator B (2W),VoltPack-3700,NMC,3.7,60.0,2024-01-09,Bengaluru,Karnataka,12.845,77.7003,867,2.83,32.6,51.4,16.2,43.2,31.2,0.992,3.117,0.043,0.258,0.172,0.052,0.9458
BAT-0289,Fleet Operator A (3W),VoltPack-7700,NMC,7.7,48.0,2024-07-10,Chennai,Tamil Nadu,13.1844,80.1798,1451,6.01,36.8,59.0,155.2,16.8,23.7,0.9925,1.737,0.022,0.247,0.165,0.0758,0.949
BAT-0290,Fleet Operator B (2W),VoltPack-4200,LFP,4.2,52.0,2022-08-17,Jaipur,Rajasthan,26.8752,75.7477,734,2.59,33.5,51.8,23.8,27.8,14.4,0.9871,5.537,0.071,0.371,0.247,0.0918,0.914
BAT-0291,Fleet Operator C (4W),VoltPack-25900,NMC,25.9,96.0,2021-06-19,Mumbai,Maharashtra,19.181,72.8609,1078,20.09,39.4,58.7,140.0,29.5,36.4,0.9923,2.347,0.087,0.251,0.167,0.0397,0.948
BAT-0292,Fleet Operator B (3W),VoltPack-7000,NMC,7.0,60.0,2024-01-12,Lucknow,Uttar Pradesh,26.9702,80.8964,838,5.25,34.7,44.3,55.1,32.2,10.0,0.9915,3.558,0.038,0.27,0.18,0.0546,0.9424
BAT-0293,Fleet Operator B (2W),VoltPack-4100,LFP,4.1,52.0,2022-10-21,Hyderabad,Telangana,17.5257,78.4115,843,3.42,33.2,47.1,19.7,16.7,36.1,0.9942,2.077,0.034,0.207,0.138,0.0432,0.9605
BAT-0294,Fleet Operator B (3W),VoltPack-6600,LFP,6.6,60.0,2024-12-02,Jaipur,Rajasthan,26.96,75.8938,467,5.11,34.7,49.6,19.0,22.5,33.1,0.9923,5.459,0.038,0.252,0.168,0.0767,0.9476
BAT-0295,Fleet Operator A (2W),VoltPack-4400,NMC,4.4,52.0,2021-12-11,Mumbai,Maharashtra,19.1445,72.7768,919,3.67,30.7,44.9,18.5,22.3,32.7,0.9943,2.039,0.024,0.206,0.137,0.0303,0.9606
BAT-0296,Fleet Operator B (2W),VoltPack-3200,NMC,3.2,52.0,2023-10-16,Pune,Maharashtra,18.5082,73.7487,835,2.45,29.8,50.0,40.7,43.6,49.2,0.9921,3.111,0.037,0.257,0.171,0.0618,0.9461
BAT-0297,Fleet Operator B (2W),VoltPack-3300,NMC,3.3,52.0,2022-09-25,Pune,Maharashtra,18.3916,73.937,917,2.51,29.4,47.1,28.9,29.0,13.0,0.9919,2.624,0.028,0.262,0.175,0.0369,0.9448
BAT-0298,Fleet Operator C (2W),VoltPack-3900,NMC,3.9,52.0,2022-11-12,Ahmedabad,Gujarat,23.003,72.4936,886,3.47,31.2,40.0,9.8,34.5,15.4,0.9961,1.469,0.013,0.165,0.11,0.0226,0.9723
BAT-0299,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,52.0,2021-03-06,Mumbai,Maharashtra,19.0726,72.9173,399,2.88,32.0,38.3,16.5,27.8,11.2,0.9939,4.377,0.041,0.214,0.143,0.0341,0.9583
BAT-0300,Fleet Operator B (2W),VoltPack-3800,LFP,3.8,60.0,2023-12-24,Bengaluru,Karnataka,12.9687,77.5708,1599,2.34,31.5,43.7,78.7,29.2,44.2,0.9872,1.937,0.066,0.37,0.247,0.0618,0.9142
BAT-0301,Fleet Operator A (3W),VoltPack-7600,NMC,7.6,60.0,2021-03-08,Nagpur,Maharashtra,20.9999,79.2049,923,5.23,36.2,47.2,60.0,44.4,49.4,0.9895,2.802,0.084,0.316,0.211,0.0703,0.9295
BAT-0302,Fleet Operator A (2W),VoltPack-3500,NMC,3.5,48.0,2024-02-02,Bengaluru,Karnataka,13.0427,77.6136,845,2.18,35.1,42.8,43.4,31.1,38.4,0.9873,3.605,0.037,0.366,0.244,0.066,0.9153
BAT-0303,Fleet Operator C (2W),VoltPack-3200,NMC,3.2,60.0,2023-08-06,Mumbai,Maharashtra,19.188,72.8135,1293,2.52,35.5,53.4,32.4,24.8,71.8,0.9927,1.824,0.019,0.241,0.161,0.0355,0.9506
BAT-0304,Fleet Operator B (3W),VoltPack-5500,LFP,5.5,48.0,2023-03-17,Ahmedabad,Gujarat,22.8805,72.5862,1344,3.59,36.9,46.8,60.1,32.6,39.3,0.9883,3.045,0.036,0.343,0.229,0.0696,0.9219
BAT-0305,Fleet Operator A (2W),VoltPack-3700,LFP,3.7,60.0,2022-03-20,Chennai,Tamil Nadu,13.0297,80.3035,1513,2.54,34.8,41.4,25.8,31.7,23.4,0.9894,2.068,0.005,0.318,0.212,0.0492,0.9288
BAT-0306,Fleet Operator B (2W),VoltPack-3500,LCO,3.5,48.0,2024-03-19,New Delhi,Delhi,28.5443,77.1782,1079,2.38,35.3,45.3,45.7,23.6,74.7,0.9892,2.633,0.119,0.322,0.215,0.1017,0.9276
BAT-0307,Fleet Operator C (2W),VoltPack-3800,LCO,3.8,48.0,2024-07-03,Pune,Maharashtra,18.3972,73.9268,1372,2.72,32.9,40.8,41.0,14.0,20.7,0.9904,1.703,0.075,0.295,0.197,0.0524,0.9353
BAT-0308,Fleet Operator B (2W),VoltPack-3200,LCO,3.2,48.0,2022-05-06,Mumbai,Maharashtra,19.1504,72.9409,1461,2.03,36.0,50.4,30.6,16.3,33.6,0.9878,2.622,0.038,0.356,0.237,0.0889,0.9182
BAT-0309,Fleet Operator C (3W),VoltPack-6200,NMC,6.2,48.0,2023-07-27,Pune,Maharashtra,18.6475,73.7513,641,4.07,30.1,44.8,30.8,36.6,30.5,0.9885,4.711,0.028,0.34,0.226,0.0913,0.9228
BAT-0310,Fleet Operator A (2W),VoltPack-4100,NMC,4.1,48.0,2024-10-28,Hyderabad,Telangana,17.3007,78.4671,1073,2.75,31.4,46.2,83.2,43.7,50.9,0.9889,2.573,0.001,0.329,0.22,0.0985,0.9257
BAT-0311,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,52.0,2021-12-28,New Delhi,Delhi,28.6627,77.2439,703,2.08,31.1,49.0,65.5,17.8,41.9,0.9882,4.034,0.027,0.346,0.231,0.0766,0.921
BAT-0312,Fleet Operator A (2W),VoltPack-4100,NMC,4.1,48.0,2022-10-12,Lucknow,Uttar Pradesh,26.9122,80.9074,451,3.55,30.6,42.8,6.9,34.2,28.3,0.9953,3.1,0.011,0.182,0.122,0.0336,0.9674
BAT-0313,Fleet Operator A (2W),VoltPack-3200,NMC,3.2,60.0,2023-10-22,Pune,Maharashtra,18.5948,73.8137,1013,2.41,29.8,46.4,39.5,39.5,18.0,0.9916,2.871,0.026,0.268,0.179,0.077,0.9429
BAT-0314,Fleet Operator B (3W),VoltPack-7100,NMC,7.1,48.0,2021-09-23,New Delhi,Delhi,28.5962,77.2879,541,6.41,27.7,41.0,7.6,42.3,16.9,0.9964,2.068,0.013,0.156,0.104,0.0236,0.9749
BAT-0315,Fleet Operator C (3W),VoltPack-5100,NMC,5.1,60.0,2024-05-02,Bengaluru,Karnataka,12.9892,77.5454,1122,3.14,32.8,44.9,38.8,25.7,13.4,0.9871,3.825,0.036,0.371,0.247,0.1497,0.9139
BAT-0316,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,48.0,2023-03-25,Lucknow,Uttar Pradesh,26.8571,80.9073,487,2.39,30.4,41.2,47.8,27.9,40.4,0.9907,5.839,0.039,0.289,0.193,0.0391,0.9371
BAT-0317,Fleet Operator B (2W),VoltPack-4200,LFP,4.2,52.0,2021-02-11,Pune,Maharashtra,18.4241,73.932,1334,3.1,33.4,44.5,26.2,28.7,17.7,0.9911,2.036,0.016,0.279,0.186,0.0934,0.9399
BAT-0318,Fleet Operator A (2W),VoltPack-4300,NMC,4.3,60.0,2023-07-20,Pune,Maharashtra,18.398,73.7101,741,3.31,32.9,52.2,33.4,37.8,51.8,0.9922,2.941,0.005,0.255,0.17,0.0397,0.9469
BAT-0319,Fleet Operator C (2W),VoltPack-4000,NMC,4.0,60.0,2024-09-15,Nagpur,Maharashtra,21.0562,79.1435,738,3.49,31.9,45.2,21.5,19.1,37.5,0.9955,1.639,0.005,0.178,0.119,0.0362,0.9686
BAT-0320,Fleet Operator A (2W),VoltPack-3300,NMC,3.3,60.0,2023-02-24,Bengaluru,Karnataka,12.9029,77.6758,1688,2.24,36.9,41.8,67.0,21.3,42.0,0.9892,1.822,0.011,0.322,0.215,0.0549,0.9276
BAT-0321,Fleet Operator C (2W),VoltPack-3400,LCO,3.4,52.0,2024-05-07,Bengaluru,Karnataka,12.8907,77.446,1046,2.11,35.5,45.5,48.5,14.5,27.3,0.9873,3.07,0.034,0.367,0.245,0.0765,0.9151
BAT-0322,Fleet Operator C (2W),VoltPack-3000,NMC,3.0,52.0,2024-12-23,Hyderabad,Telangana,17.3037,78.6334,415,2.32,30.4,41.0,22.7,26.5,44.7,0.9922,5.603,0.026,0.254,0.169,0.0706,0.9472
BAT-0323,Fleet Operator B (2W),VoltPack-3300,NMC,3.3,52.0,2023-06-28,Lucknow,Uttar Pradesh,26.8852,81.0363,972,2.37,35.4,52.9,49.9,15.8,37.6,0.9905,2.736,0.035,0.293,0.195,0.0518,0.936
BAT-0324,Fleet Operator A (2W),VoltPack-3100,LCO,3.1,52.0,2021-04-28,Hyderabad,Telangana,17.3235,78.4792,974,2.13,37.1,49.9,76.3,43.5,53.8,0.9895,2.583,0.043,0.316,0.211,0.1031,0.9294
BAT-0325,Fleet Operator B (4W),VoltPack-33900,NMC,33.9,96.0,2023-11-27,Pune,Maharashtra,18.5945,73.9392,1199,21.11,34.8,40.4,47.3,29.0,36.9,0.9874,2.783,0.016,0.365,0.244,0.1488,0.9155
BAT-0326,Fleet Operator A (2W),VoltPack-4100,LFP,4.1,52.0,2021-08-14,Mumbai,Maharashtra,19.0365,72.9686,872,3.11,37.5,65.3,61.4,25.2,31.0,0.9917,2.328,0.009,0.264,0.176,0.0416,0.9441
